group,AUC,n,events,overall_auc,AUC_gap,flag
White,0.813999151624345,131424,3590,0.8353287789034226,0.021329627279077612,False
Black,0.831906371220029,53687,683,0.8353287789034226,0.0034224076833936357,False
Hispanic/Latino,0.8372492061608697,21868,196,0.8353287789034226,-0.0019204272574471215,False
Other/Unknown/Not Reported,0.8940007703613929,14542,440,0.8353287789034226,-0.05867199145797031,False
Asian,0.8432809801036402,10453,245,0.8353287789034226,-0.007952201200217557,False
American Indian/Alaska Native,0.7869003690036901,546,4,0.8353287789034226,0.048428409899732516,False
Native Hawaiian/Pacific Islander,0.8971604938271605,285,15,0.8353287789034226,-0.061831714923737846,False
Multiple Races,,90,0,0.8353287789034226,,False
