group,AUC,n,events,overall_auc,AUC_gap,flag
F,0.8502140470746404,136433,2467,0.8353287789034226,-0.014885268171217825,False
M,0.8116404442700049,96462,2706,0.8353287789034226,0.023688334633417685,False
