group,AUC,overall_auc,AUC_gap,n,flag
White,0.813999151624345,0.8353287789034226,0.021329627279077612,131424,False
Black,0.831906371220029,0.8353287789034226,0.0034224076833936357,53687,False
Hispanic/Latino,0.8372492061608697,0.8353287789034226,-0.0019204272574471215,21868,False
Other/Unknown/Not Reported,0.8940007703613929,0.8353287789034226,-0.05867199145797031,14542,False
Asian,0.8432809801036402,0.8353287789034226,-0.007952201200217557,10453,False
American Indian/Alaska Native,0.7869003690036901,0.8353287789034226,0.048428409899732516,546,False
Native Hawaiian/Pacific Islander,0.8971604938271605,0.8353287789034226,-0.061831714923737846,285,False
Multiple Races,,0.8353287789034226,,90,False
